lga_code,new_sub,property_pfi,parcel_pfi,address_pfi,spi,plan_number,lot_number,base_propnum,propnum,crefno,hsa_flag,hsa_unit_id,blg_unit_type,blg_unit_prefix_1,blg_unit_id_1,blg_unit_suffix_1,blg_unit_prefix_2,blg_unit_id_2,blg_unit_suffix_2,floor_type,floor_prefix_1,floor_no_1,floor_suffix_1,floor_prefix_2,floor_no_2,floor_suffix_2,building_name,complex_name,location_descriptor,house_prefix_1,house_number_1,house_suffix_1,house_prefix_2,house_number_2,house_suffix_2,access_type,new_road,road_name,road_type,road_suffix,locality_name,distance_related_flag,is_primary,easting,northing,datum_proj,outside_property,edit_code,comments,date,pozi_map
"328",,"430961935",,,,,,,"171763",,,,,,,,,,,,,,,,,,,,,,"71",,,,,,,GOWRIE,STREET,,TATURA,,Y,,,,,A,parcel 2\PS828727: adding propnum 171763 (new) (71 GOWRIE STREET TATURA) as new multi-assessment to property 225497 (36 BROOKWATER CRESCENT TATURA) (**WARNING**: properties have different road names),2025-04-29,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=430961935"",""https://vicmap.pozi.com/?propertypfi=430961935"")"
"328",,"430961935",,,,,,,"171764",,,,,,,,,,,,,,,,,,,,,,"71",A,,,,,,GOWRIE,STREET,,TATURA,,Y,,,,,A,parcel 2\PS828727: adding propnum 171764 (new) (71A GOWRIE STREET TATURA) as new multi-assessment to property 225497 (36 BROOKWATER CRESCENT TATURA) (**WARNING**: properties have different road names),2025-04-29,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=430961935"",""https://vicmap.pozi.com/?propertypfi=430961935"")"
"328",,"453933871",,,,,,,"172249",,,,,,,,,,,,,,,,,,,,,,"39",,,,,,,MAHER,STREET,,TATURA,,Y,,,,,A,parcel 3\PS909018: adding propnum 172249 (new) (39 MAHER STREET TATURA) as new multi-assessment to property 224161 (3/39 MAHER STREET TATURA),2024-08-06,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=453933871"",""https://vicmap.pozi.com/?propertypfi=453933871"")"
"328",,"453933870",,,,,,,"172249",,,,,,,,,,,,,,,,,,,,,,"39",,,,,,,MAHER,STREET,,TATURA,,Y,,,,,A,parcel 2\PS909018: adding propnum 172249 (new) (39 MAHER STREET TATURA) as new multi-assessment to property 224160 (2/39 MAHER STREET TATURA),2024-08-06,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=453933870"",""https://vicmap.pozi.com/?propertypfi=453933870"")"
"328",,"453933869",,,,,,,"172249",,,,,,,,,,,,,,,,,,,,,,"39",,,,,,,MAHER,STREET,,TATURA,,Y,,,,,A,parcel 1\PS909018: adding propnum 172249 (new) (39 MAHER STREET TATURA) as new multi-assessment to property 224159 (1/39 MAHER STREET TATURA),2024-08-06,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=453933869"",""https://vicmap.pozi.com/?propertypfi=453933869"")"
"328",,"452849305",,,,,,,"174079",,,,,,,,,,,,,,,,,,,,,,"459",,,,,,,RIVER,ROAD,,KIALLA,,Y,,,,,A,parcel 6\PS804094: adding propnum 174079 (new) (459 RIVER ROAD KIALLA) as new multi-assessment to property 221948 (5 JARRAM WAY KIALLA) (**WARNING**: properties have different road names),2023-08-08,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=452849305"",""https://vicmap.pozi.com/?propertypfi=452849305"")"
"328",,"453809686",,,,,,,"174584",,,,,,,,,,,,,,,,,,,,,,"21",A,,,,,,MARLBORO,DRIVE,,KIALLA,,Y,,,,,A,parcel 9\PS849479: adding propnum 174584 (new) (21A MARLBORO DRIVE KIALLA) as new multi-assessment to property 224289 (22 CABERNET STREET KIALLA) (**WARNING**: properties have different road names),2024-08-06,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=453809686"",""https://vicmap.pozi.com/?propertypfi=453809686"")"
"328",,"453809685",,,,,,,"174584",,,,,,,,,,,,,,,,,,,,,,"21",A,,,,,,MARLBORO,DRIVE,,KIALLA,,Y,,,,,A,parcel 8\PS849479: adding propnum 174584 (new) (21A MARLBORO DRIVE KIALLA) as new multi-assessment to property 224288 (20 CABERNET STREET KIALLA) (**WARNING**: properties have different road names),2024-08-06,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=453809685"",""https://vicmap.pozi.com/?propertypfi=453809685"")"
"328",,"453809684",,,,,,,"174584",,,,,,,,,,,,,,,,,,,,,,"21",A,,,,,,MARLBORO,DRIVE,,KIALLA,,Y,,,,,A,parcel 7\PS849479: adding propnum 174584 (new) (21A MARLBORO DRIVE KIALLA) as new multi-assessment to property 224287 (18 CABERNET STREET KIALLA) (**WARNING**: properties have different road names),2024-08-06,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=453809684"",""https://vicmap.pozi.com/?propertypfi=453809684"")"
"328",,"453809683",,,,,,,"174584",,,,,,,,,,,,,,,,,,,,,,"21",A,,,,,,MARLBORO,DRIVE,,KIALLA,,Y,,,,,A,parcel 6\PS849479: adding propnum 174584 (new) (21A MARLBORO DRIVE KIALLA) as new multi-assessment to property 224286 (16 CABERNET STREET KIALLA) (**WARNING**: properties have different road names),2024-08-06,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=453809683"",""https://vicmap.pozi.com/?propertypfi=453809683"")"
"328",,"453809682",,,,,,,"174584",,,,,,,,,,,,,,,,,,,,,,"21",A,,,,,,MARLBORO,DRIVE,,KIALLA,,Y,,,,,A,parcel 5\PS849479: adding propnum 174584 (new) (21A MARLBORO DRIVE KIALLA) as new multi-assessment to property 224285 (14 CABERNET STREET KIALLA) (**WARNING**: properties have different road names),2024-08-06,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=453809682"",""https://vicmap.pozi.com/?propertypfi=453809682"")"
"328",,"453809680",,,,,,,"174584",,,,,,,,,,,,,,,,,,,,,,"21",A,,,,,,MARLBORO,DRIVE,,KIALLA,,Y,,,,,A,parcel 46\PS849479: adding propnum 174584 (new) (21A MARLBORO DRIVE KIALLA) as new multi-assessment to property 224328 (3 DOLCETTO COURT KIALLA) (**WARNING**: properties have different road names),2024-08-06,"=hyperlink(""https://vicmap.pozi.com/?propertypfi=453809680"",""https://vicmap.pozi.com/?propertypfi=453809680"")"
